file,opt,cgates_average,cgates_stdev,depth_average,depth_stdev,amounts
benchmark_files__rand_1013.qasm,l3rpol3,178.88888888888889,11.503086005690864,143.22222222222223,13.934591472525229,9
benchmark_files__rand_1013.qasm,RPOLevel3Pure,131.44444444444446,21.53607367037461,113.77777777777777,9.99753055929066,9
benchmark_files__rand_1014.qasm,l3rpol3,115.0,5.696002496878354,109.33333333333333,8.993825042154695,9
benchmark_files__rand_1014.qasm,RPOLevel3Pure,127.55555555555556,15.88927738452788,101.44444444444444,11.548074501463784,9
benchmark_files__rand_1015.qasm,l3rpol3,19.0,2.260776661041756,23.11111111111111,2.182986967154278,9
benchmark_files__rand_1015.qasm,RPOLevel3Pure,0.0,0.0,2.0,0.0,9
benchmark_files__rand_1016.qasm,l3rpol3,382.6666666666667,9.333333333333334,324.77777777777777,12.053379219840549,9
benchmark_files__rand_1016.qasm,RPOLevel3Pure,478.44444444444446,37.68026630924737,298.0,26.212804335116665,9
benchmark_files__rand_1017.qasm,l3rpol3,293.3333333333333,4.546060565661952,263.77777777777777,4.262961354055751,9
benchmark_files__rand_1017.qasm,RPOLevel3Pure,405.6666666666667,28.24889378365107,217.11111111111111,15.580931682629425,9
benchmark_files__rand_1018.qasm,l3rpol3,190.22222222222223,7.161281353032008,156.55555555555554,15.549999007582043,9
benchmark_files__rand_1018.qasm,RPOLevel3Pure,115.11111111111111,7.992280225935309,74.33333333333333,8.459051693633013,9
benchmark_files__rand_1019.qasm,l3rpol3,102.33333333333333,4.714045207910317,83.0,8.027729719194863,9
benchmark_files__rand_1019.qasm,RPOLevel3Pure,28.77777777777778,2.8974232912011773,26.11111111111111,1.9116278371205837,9
benchmark_files__rand_102.qasm,l3rpol3,319.8888888888889,15.430449294563616,249.22222222222223,34.681976676262835,9
benchmark_files__rand_102.qasm,RPOLevel3Pure,499.1111111111111,50.297878118364764,270.22222222222223,28.05858069499033,9
benchmark_files__rand_1020.qasm,l3rpol3,128.55555555555554,5.079613089183316,108.66666666666667,5.830951894845301,9
benchmark_files__rand_1020.qasm,RPOLevel3Pure,80.44444444444444,7.544108976341314,57.333333333333336,7.039570693980958,9
benchmark_files__rand_1021.qasm,l3rpol3,85.22222222222223,3.909469352390929,77.77777777777777,9.101621073898842,9
benchmark_files__rand_1021.qasm,RPOLevel3Pure,32.77777777777778,0.7856742013183861,34.77777777777778,0.7856742013183861,9
benchmark_files__rand_1022.qasm,l3rpol3,138.55555555555554,2.543449587168799,125.66666666666667,14.914571547464728,9
benchmark_files__rand_1022.qasm,RPOLevel3Pure,19.666666666666668,3.1269438398822866,20.22222222222222,2.9355210696939795,9
benchmark_files__rand_1023.qasm,l3rpol3,362.1111111111111,9.527089382322675,311.55555555555554,20.02837493330739,9
benchmark_files__rand_1023.qasm,RPOLevel3Pure,520.8888888888889,46.72245342788612,298.44444444444446,30.401429466067004,9
benchmark_files__rand_1024.qasm,l3rpol3,264.1111111111111,13.867984267885547,239.66666666666666,14.907119849998598,9
benchmark_files__rand_1024.qasm,RPOLevel3Pure,362.6666666666667,27.0842307543625,192.77777777777777,18.78402263022592,9
benchmark_files__rand_1025.qasm,l3rpol3,38.44444444444444,3.0225490019412096,42.666666666666664,3.39934634239519,9
benchmark_files__rand_1025.qasm,RPOLevel3Pure,72.44444444444444,10.812658333958101,49.888888888888886,7.665861471404596,9
benchmark_files__rand_1026.qasm,l3rpol3,309.0,10.749676997731399,254.33333333333334,29.44675043381037,9
benchmark_files__rand_1026.qasm,RPOLevel3Pure,475.8888888888889,64.14297301851794,275.77777777777777,48.27646718589314,9
benchmark_files__rand_1027.qasm,l3rpol3,339.6666666666667,8.232726023485645,266.22222222222223,34.82265475162135,9
benchmark_files__rand_1027.qasm,RPOLevel3Pure,458.0,36.35626187849595,275.8888888888889,18.453812881801507,9
benchmark_files__rand_1028.qasm,l3rpol3,139.88888888888889,5.279824164674098,130.77777777777777,9.258962958222071,9
benchmark_files__rand_1028.qasm,RPOLevel3Pure,113.77777777777777,10.07502718802814,81.44444444444444,5.7370358415224825,9
benchmark_files__rand_1029.qasm,l3rpol3,246.22222222222223,8.32369813347913,209.22222222222223,14.748090481126908,9
benchmark_files__rand_1029.qasm,RPOLevel3Pure,308.55555555555554,35.59997225689028,190.88888888888889,24.31480776282654,9
benchmark_files__rand_103.qasm,l3rpol3,148.77777777777777,10.496325047661816,130.0,12.692955176439847,9
benchmark_files__rand_103.qasm,RPOLevel3Pure,32.44444444444444,5.27280467453541,29.77777777777778,4.4416657980681515,9
