file,opt,cgates_average,cgates_stdev,depth_average,depth_stdev,amounts
benchmark_files__rand_105.qasm,1011,107.44444444444444,4.449996532111285,122.88888888888889,2.6010444246043614,9
benchmark_files__rand_105.qasm,1100,125.55555555555556,3.402976184691901,132.66666666666666,4.853406592853679,9
benchmark_files__rand_105.qasm,1101,112.11111111111111,5.645931562627778,130.44444444444446,12.365823071955766,9
benchmark_files__rand_105.qasm,1110,127.44444444444444,4.991350543381379,138.88888888888889,14.548344269629252,9
benchmark_files__rand_105.qasm,1111,106.44444444444444,3.8618104882183926,123.77777777777777,13.782257336298382,9
benchmark_files__rand_106.qasm,0001,200.66666666666666,5.517648452415616,177.55555555555554,27.916984520025764,9
benchmark_files__rand_106.qasm,0010,212.44444444444446,3.402976184691901,180.11111111111111,20.041315350736195,9
benchmark_files__rand_106.qasm,0011,186.55555555555554,4.991350543381379,148.44444444444446,14.788216864270396,9
benchmark_files__rand_106.qasm,0100,215.0,4.0,164.11111111111111,13.64180213285982,9
benchmark_files__rand_106.qasm,0101,197.88888888888889,7.294510027631046,160.77777777777777,15.497510751929578,9
benchmark_files__rand_106.qasm,0110,208.33333333333334,4.642796092394706,160.55555555555554,15.026725163381489,9
benchmark_files__rand_106.qasm,0111,191.88888888888889,10.68170236582628,156.88888888888889,17.628540271354446,9
benchmark_files__rand_106.qasm,1000,191.55555555555554,5.92754607482184,197.44444444444446,21.633878324471198,9
benchmark_files__rand_106.qasm,1001,170.0,11.065461781798554,169.44444444444446,26.11560245060459,9
benchmark_files__rand_106.qasm,1010,189.88888888888889,6.773222512945853,198.22222222222223,22.587005988093527,9
benchmark_files__rand_106.qasm,1011,177.88888888888889,10.471595914074145,183.88888888888889,20.129825546765424,9
benchmark_files__rand_106.qasm,1100,190.66666666666666,4.2946995755750415,180.11111111111111,18.53791576708812,9
benchmark_files__rand_106.qasm,1101,179.77777777777777,11.262304656367608,169.55555555555554,20.28196303840824,9
benchmark_files__rand_106.qasm,1110,190.77777777777777,7.145748973694901,183.55555555555554,17.544300189400616,9
benchmark_files__rand_106.qasm,1111,173.55555555555554,9.262962222518372,170.0,23.304744390598046,9
benchmark_files__rand_107.qasm,0001,167.11111111111111,4.724509250104289,178.22222222222223,15.266359369380172,9
benchmark_files__rand_107.qasm,0010,173.0,3.4641016151377544,167.77777777777777,11.350749145886342,9
benchmark_files__rand_107.qasm,0011,164.66666666666666,5.456901847914967,165.22222222222223,18.207310972230527,9
benchmark_files__rand_107.qasm,0100,180.33333333333334,3.496029493900505,177.22222222222223,21.596181646957756,9
benchmark_files__rand_107.qasm,0101,166.0,6.306962642808167,151.88888888888889,19.439046869892476,9
benchmark_files__rand_107.qasm,0110,174.55555555555554,2.9481109247603556,164.55555555555554,12.093259014022932,9
benchmark_files__rand_107.qasm,0111,161.33333333333334,6.146362971528592,139.88888888888889,12.520600309041313,9
benchmark_files__rand_107.qasm,1000,159.55555555555554,4.901498888913951,196.11111111111111,4.747969026493666,9
benchmark_files__rand_107.qasm,1001,153.55555555555554,6.184408911144776,178.0,26.43230346879868,9
benchmark_files__rand_107.qasm,1010,162.66666666666666,4.163331998932265,199.66666666666666,12.866839377079188,9
benchmark_files__rand_107.qasm,1011,151.0,5.011098792790969,175.11111111111111,16.888157878916513,9
benchmark_files__rand_107.qasm,1100,161.22222222222223,5.513171657802345,193.66666666666666,17.944358444926362,9
benchmark_files__rand_107.qasm,1101,154.11111111111111,4.331908597692873,178.22222222222223,11.467614086613926,9
benchmark_files__rand_107.qasm,1110,158.55555555555554,5.852086258783863,182.88888888888889,20.338493577147112,9
benchmark_files__rand_107.qasm,1111,150.77777777777777,6.425258797689315,172.33333333333334,13.920408678547401,9
benchmark_files__rand_108.qasm,0001,339.55555555555554,4.6930471293206395,365.77777777777777,18.158424905859217,9
benchmark_files__rand_108.qasm,0010,334.22222222222223,5.533288710217215,347.6666666666667,9.510228411791404,9
benchmark_files__rand_108.qasm,0011,327.6666666666667,7.542472332656507,327.0,12.064640713902572,9
benchmark_files__rand_108.qasm,0100,344.0,2.0,348.6666666666667,11.065461781798554,9
benchmark_files__rand_108.qasm,0101,336.6666666666667,8.793937305515279,321.0,13.55646627177517,9
benchmark_files__rand_108.qasm,0110,337.6666666666667,4.396968652757639,338.77777777777777,13.822508035630213,9
benchmark_files__rand_108.qasm,0111,324.1111111111111,6.0266896099202745,318.1111111111111,11.129983971681026,9
benchmark_files__rand_108.qasm,1000,300.77777777777777,6.178417233092374,389.22222222222223,6.178417233092374,9
benchmark_files__rand_108.qasm,1001,292.1111111111111,7.09372875533883,373.0,7.803133273813083,9
benchmark_files__rand_108.qasm,1010,296.8888888888889,8.451751224771828,358.22222222222223,18.83128471322701,9
